trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
389,False,"{'a': 0.00299815767, 'e': 0.31152261794042385}",20,0,5.523467903351962,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
390,False,"{'a': 0.00299815767, 'e': 0.3105900227463718}",25,5,19.72518521641912,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.00299815767, 'e': 0.3096602194324141}",30,0,-86.03638750674321,"{0: 23, 1: 2, 2: 1, 3: 3, 4: 1}",0
392,False,"{'a': 0.00299815767, 'e': 0.30873319964058954}",30,6,-21.540109974230226,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
393,False,"{'a': 0.00299815767, 'e': 0.30780895503795785}",30,8,15.193282144800415,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
394,False,"{'a': 0.00299815767, 'e': 0.3068874773165249}",30,19,12.120880170960616,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.00299815767, 'e': 0.3059687581931677}",25,0,20.947815886042026,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
396,False,"{'a': 0.00299815767, 'e': 0.3050527894095605}",20,4,-42.17336549229896,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
397,False,"{'a': 0.00299815767, 'e': 0.3041395627321}",25,0,-19.445815232645575,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
398,False,"{'a': 0.00299815767, 'e': 0.3032290699518317}",20,0,-1.182232024099881,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
399,False,"{'a': 0.00299815767, 'e': 0.3023213028843758}",30,22,-12.087160794351753,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
400,False,"{'a': 0.00299815767, 'e': 0.30141625336985406}",25,0,-0.16961074010028154,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
401,False,"{'a': 0.00299815767, 'e': 0.300513913272816}",25,1,19.736037586485676,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.00299815767, 'e': 0.29961427448216615}",25,14,17.11442090873301,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.00299815767, 'e': 0.2987173289110908}",20,0,-13.31675085539133,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
404,False,"{'a': 0.00299815767, 'e': 0.2978230684969856}",25,16,-6.9688872885571636,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
405,False,"{'a': 0.00299815767, 'e': 0.2969314852013828}",25,1,-17.83694017919101,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
406,False,"{'a': 0.00299815767, 'e': 0.29604257100987935}",20,7,0.46469287889469113,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.00299815767, 'e': 0.29515631793206454}",25,3,-12.56115506913314,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
408,False,"{'a': 0.00299815767, 'e': 0.29427271800144833}",30,11,19.777017818638743,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.00299815767, 'e': 0.2933917632753896}",20,0,29.91055006818368,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.00299815767, 'e': 0.29251344583502514}",30,8,-50.859504040447234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
411,False,"{'a': 0.00299815767, 'e': 0.2916377577851978}",25,3,-19.42737484778993,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
412,False,"{'a': 0.00299815767, 'e': 0.2907646912543862}",20,0,-121.7692849152443,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
413,False,"{'a': 0.00299815767, 'e': 0.2898942383946336}",30,0,3.916217644551505,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
414,False,"{'a': 0.00299815767, 'e': 0.28902639138147734}",25,12,4.820853008004129,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.00299815767, 'e': 0.2881611424138787}",20,0,22.175865047742672,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
416,False,"{'a': 0.00299815767, 'e': 0.2872984837141527}",30,4,0.8404699486151732,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
417,False,"{'a': 0.00299815767, 'e': 0.286438407527898}",25,3,-68.14486763244437,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
418,False,"{'a': 0.00299815767, 'e': 0.28558090612392767}",20,2,16.867510113250034,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
419,False,"{'a': 0.00299815767, 'e': 0.284725971794199}",20,0,-29.34944958494769,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
420,False,"{'a': 0.00299815767, 'e': 0.2838735968537449}",20,0,-65.78184529084984,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
421,False,"{'a': 0.00299815767, 'e': 0.28302377364060444}",20,9,21.95101751614685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.00299815767, 'e': 0.2821764945157539}",35,6,-4.722055745080674,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
423,False,"{'a': 0.00299815767, 'e': 0.2813317518630385}",20,6,-25.963728779908326,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
424,False,"{'a': 0.00299815767, 'e': 0.2804895380891035}",25,13,19.281845100527555,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.00299815767, 'e': 0.27964984562332623}",25,16,3.952400437960791,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
426,False,"{'a': 0.00299815767, 'e': 0.278812666917748}",20,10,10.367948249880275,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.00299815767, 'e': 0.2779779944470061}",25,5,-8.5813456225637,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
428,False,"{'a': 0.00299815767, 'e': 0.27714582070826627}",20,0,-7.167971147768898,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
429,False,"{'a': 0.00299815767, 'e': 0.27631613822115525}",25,0,16.781992709215782,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
430,False,"{'a': 0.00299815767, 'e': 0.2754889395276936}",20,10,7.915248580471639,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
431,False,"{'a': 0.00299815767, 'e': 0.2746642171922285}",20,0,-3.2635068010484916,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
432,False,"{'a': 0.00299815767, 'e': 0.2738419638013671}",20,8,-15.702532798686764,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
433,False,"{'a': 0.00299815767, 'e': 0.27302217196390965}",25,0,-19.83818699156724,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
434,False,"{'a': 0.00299815767, 'e': 0.2722048343107833}",20,7,16.639965402036893,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.00299815767, 'e': 0.27138994349497575}",25,14,8.045063393342605,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
436,False,"{'a': 0.00299815767, 'e': 0.2705774921914692}",25,12,1.5962576935376331,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
437,False,"{'a': 0.00299815767, 'e': 0.2697674730971745}",20,8,-30.867284872267316,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
438,False,"{'a': 0.00299815767, 'e': 0.2689598789308655}",25,20,9.40614346064057,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.00299815767, 'e': 0.2681547024331137}",25,11,-21.741851650326367,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
440,False,"{'a': 0.00299815767, 'e': 0.26735193636622284}",25,5,-10.021279006374105,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
441,False,"{'a': 0.00299815767, 'e': 0.2665515735141639}",20,0,14.534650318997395,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
442,False,"{'a': 0.00299815767, 'e': 0.2657536066825104}",30,0,-2.0364461019492213,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
443,False,"{'a': 0.00299815767, 'e': 0.2649580286983735}",30,2,-51.130259859013556,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 1}",1
444,False,"{'a': 0.00299815767, 'e': 0.26416483241033745}",30,8,-43.50685007873913,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
445,False,"{'a': 0.00299815767, 'e': 0.2633740106883957}",20,0,-4.665934734145353,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
446,False,"{'a': 0.00299815767, 'e': 0.2625855564238865}",20,0,-39.96172931900189,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
447,False,"{'a': 0.00299815767, 'e': 0.2617994625294289}",30,0,-28.443241119031267,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",1
448,False,"{'a': 0.00299815767, 'e': 0.26101572193885947}",35,22,7.858362587558611,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
449,False,"{'a': 0.00299815767, 'e': 0.2602343276071684}",20,0,4.088392658061805,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
450,False,"{'a': 0.00299815767, 'e': 0.2594552725104363}",25,0,25.005615440703203,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
451,False,"{'a': 0.00299815767, 'e': 0.2586785496457711}",25,6,24.11420091993848,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.00299815767, 'e': 0.25790415203124495}",20,1,14.786009634493226,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.00299815767, 'e': 0.2571320727058317}",20,13,9.079073353219323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.00299815767, 'e': 0.2563623047293442}",25,15,20.881316164202826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.00299815767, 'e': 0.25559484118237175}",30,8,-17.142256518722256,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
456,False,"{'a': 0.00299815767, 'e': 0.25482967516621824}",25,18,11.1281439937773,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.00299815767, 'e': 0.25406679980283997}",20,12,-25.38147077038581,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
458,False,"{'a': 0.00299815767, 'e': 0.2533062082347836}",20,13,12.711431659474762,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.00299815767, 'e': 0.2525478936251251}",30,23,9.845749349380554,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.00299815767, 'e': 0.2517918491574075}",30,18,24.659114347093812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.00299815767, 'e': 0.25103806803558026}",20,5,26.538563602240384,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.00299815767, 'e': 0.25028654348393803}",20,12,16.289024626178616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.00299815767, 'e': 0.2495372687470595}",20,0,-49.53920668355147,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
464,False,"{'a': 0.00299815767, 'e': 0.24879023708974693}",20,0,-4.373412222098816,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
465,False,"{'a': 0.00299815767, 'e': 0.24804544179696553}",20,0,29.932169923087102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
466,False,"{'a': 0.00299815767, 'e': 0.24730287617378305}",25,5,22.525778362947335,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
467,False,"{'a': 0.00299815767, 'e': 0.24656253354530966}",20,12,-39.78363900914879,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
468,False,"{'a': 0.00299815767, 'e': 0.24582440725663798}",20,0,-25.55156954036515,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
469,False,"{'a': 0.00299815767, 'e': 0.24508849067278313}",30,0,-71.67479744195333,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
470,False,"{'a': 0.00299815767, 'e': 0.24435477717862322}",20,0,-91.10596944574759,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
471,False,"{'a': 0.00299815767, 'e': 0.24362326017883984}",20,8,-1.6975231171911322,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
472,False,"{'a': 0.00299815767, 'e': 0.24289393309785873}",25,3,-1.2089983833218219,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
473,False,"{'a': 0.00299815767, 'e': 0.24216678937979078}",20,3,25.679813685409062,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.00299815767, 'e': 0.24144182248837295}",20,0,-103.17397001905726,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
475,False,"{'a': 0.00299815767, 'e': 0.2407190259069097}",20,0,-16.71877162560946,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
476,False,"{'a': 0.00299815767, 'e': 0.2399983931382142}",20,6,-33.306517212591174,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
477,False,"{'a': 0.00299815767, 'e': 0.23927991770455012}",25,2,12.957267889677471,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
478,False,"{'a': 0.00299815767, 'e': 0.2385635931475733}",20,0,12.658213545508818,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
479,False,"{'a': 0.00299815767, 'e': 0.2378494130282737}",25,0,31.081186777635523,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
480,False,"{'a': 0.00299815767, 'e': 0.23713737092691753}",20,0,-1.3612093092303177,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
481,False,"{'a': 0.00299815767, 'e': 0.2364274604429896}",20,12,14.925394628122103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.00299815767, 'e': 0.2357196751951357}",30,3,5.7490528962618965,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
483,False,"{'a': 0.00299815767, 'e': 0.23501400882110524}",35,0,-92.13595412809747,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
484,False,"{'a': 0.00299815767, 'e': 0.23431045497769415}",20,0,-21.99640293805125,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
485,False,"{'a': 0.00299815767, 'e': 0.23360900734068776}",25,15,19.211420768168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.00299815767, 'e': 0.2329096596048041}",20,4,-5.321190858092608,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
487,False,"{'a': 0.00299815767, 'e': 0.23221240548363692}",25,3,-85.66892417880675,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
488,False,"{'a': 0.00299815767, 'e': 0.2315172387095996}",20,0,-6.190056084468359,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
489,False,"{'a': 0.00299815767, 'e': 0.23082415303386844}",20,3,-16.03806436515875,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
490,False,"{'a': 0.00299815767, 'e': 0.23013314222632675}",20,0,16.803722949610627,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
491,False,"{'a': 0.00299815767, 'e': 0.22944420007550861}",35,9,24.56234651396064,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
492,False,"{'a': 0.00299815767, 'e': 0.22875732038854327}",25,13,12.959955312996604,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.00299815767, 'e': 0.22807249699109938}",25,9,30.43654390506767,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.00299815767, 'e': 0.22738972372732938}",30,0,13.406879520541743,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
495,False,"{'a': 0.00299815767, 'e': 0.2267089944598144}",25,1,35.20504875659305,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.00299815767, 'e': 0.22603030306950891}",20,7,21.41814123684389,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.00299815767, 'e': 0.22535364345568573}",25,8,15.348593975208551,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
498,False,"{'a': 0.00299815767, 'e': 0.22467900953588127}",35,0,-43.71359490798647,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
499,False,"{'a': 0.00299815767, 'e': 0.22400639524584084}",35,3,19.01728260278229,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 0}",1
500,False,"{'a': 0.00299815767, 'e': 0.22333579453946403}",20,1,-33.977179770826886,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
501,False,"{'a': 0.00299815767, 'e': 0.22266720138875057}",25,13,-0.11211469766599169,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
502,False,"{'a': 0.00299815767, 'e': 0.22200060978374586}",20,0,4.151704460451217,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
503,False,"{'a': 0.00299815767, 'e': 0.22133601373248726}",20,0,-49.03245024008562,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
504,False,"{'a': 0.00299815767, 'e': 0.22067340726095}",20,0,13.402250990137992,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
505,False,"{'a': 0.00299815767, 'e': 0.22001278441299355}",20,0,-4.498424725021556,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
506,False,"{'a': 0.00299815767, 'e': 0.21935413925030808}",25,13,8.149501457357708,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
507,False,"{'a': 0.00299815767, 'e': 0.21869746585236116}",20,0,-13.57407415479679,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
508,False,"{'a': 0.00299815767, 'e': 0.21804275831634437}",25,3,-9.548677656336096,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
509,False,"{'a': 0.00299815767, 'e': 0.2173900107571204}",25,17,14.122912232207092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.00299815767, 'e': 0.21673921730717002}",20,0,-22.25850302088789,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
511,False,"{'a': 0.00299815767, 'e': 0.2160903721165395}",30,0,-90.20163674932299,"{0: 23, 1: 1, 2: 2, 3: 3, 4: 1}",0
512,False,"{'a': 0.00299815767, 'e': 0.21544346935278788}",30,0,-36.17430320944679,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
513,False,"{'a': 0.00299815767, 'e': 0.21479850320093455}",25,0,-33.592852323228804,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
514,False,"{'a': 0.00299815767, 'e': 0.21415546786340706}",20,0,24.710803090932494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
515,False,"{'a': 0.00299815767, 'e': 0.21351435755998896}",20,14,8.056566459409641,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.00299815767, 'e': 0.21287516652776786}",25,0,20.787417581064194,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
517,False,"{'a': 0.00299815767, 'e': 0.21223788902108362}",20,12,14.380326776140684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.00299815767, 'e': 0.2116025193114766}",30,16,24.487021346685314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.00299815767, 'e': 0.21096905168763644}",30,0,0.0030046579258359296,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
520,False,"{'a': 0.00299815767, 'e': 0.2103374804553504}",25,13,16.480297160179433,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.00299815767, 'e': 0.20970779993745237}",25,0,-16.742875731762076,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
522,False,"{'a': 0.00299815767, 'e': 0.20908000447377179}",20,10,20.589121032484172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.00299815767, 'e': 0.20845408842108276}",20,0,-0.21398529313739012,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
524,False,"{'a': 0.00299815767, 'e': 0.20783004615305334}",30,8,17.9557770884609,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
525,False,"{'a': 0.00299815767, 'e': 0.20720787206019495}",20,0,21.0190202321762,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
526,False,"{'a': 0.00299815767, 'e': 0.20658756054981195}",20,10,-23.332260712078295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
527,False,"{'a': 0.00299815767, 'e': 0.20596910604595137}",25,13,-15.467903872975873,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
528,False,"{'a': 0.00299815767, 'e': 0.20535250298935281}",20,12,15.650659110555422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.00299815767, 'e': 0.20473774583739843}",25,15,17.495710163409004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.00299815767, 'e': 0.20412482906406312}",20,0,20.010175381750102,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
531,False,"{'a': 0.00299815767, 'e': 0.20351374715986492}",30,18,-10.428005059234955,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
532,False,"{'a': 0.00299815767, 'e': 0.20290449463181537}",20,0,13.67126634386235,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
533,False,"{'a': 0.00299815767, 'e': 0.20229706600337025}",25,0,17.17810313084408,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
534,False,"{'a': 0.00299815767, 'e': 0.2016914558143802}",20,0,16.363061019402714,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
535,False,"{'a': 0.00299815767, 'e': 0.2010876586210418}",20,3,31.185723086259255,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.00299815767, 'e': 0.2004856689958486}",35,21,18.095693342744227,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
537,False,"{'a': 0.00299815767, 'e': 0.1998854815275422}",20,6,-11.513583101558124,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
538,False,"{'a': 0.00299815767, 'e': 0.19928709082106383}",20,7,10.572915946518998,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
539,False,"{'a': 0.00299815767, 'e': 0.19869049149750562}",20,16,7.125907609906189,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.00299815767, 'e': 0.19809567819406243}",20,0,25.20923786900362,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
541,False,"{'a': 0.00299815767, 'e': 0.19750264556398356}",25,8,26.2928525516905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.00299815767, 'e': 0.19691138827652468}",20,0,-33.89965785854232,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
543,False,"{'a': 0.00299815767, 'e': 0.1963219010169}",20,0,14.900481602765073,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
544,False,"{'a': 0.00299815767, 'e': 0.1957341784862344}",20,5,4.837232249682542,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
545,False,"{'a': 0.00299815767, 'e': 0.19514821540151578}",20,10,7.460710058309434,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
546,False,"{'a': 0.00299815767, 'e': 0.1945640064955477}",30,7,-30.224564181405285,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
547,False,"{'a': 0.00299815767, 'e': 0.19398154651690191}",20,10,0.26515806514197093,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
548,False,"{'a': 0.00299815767, 'e': 0.1934008302298712}",25,1,35.63067758580349,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.00299815767, 'e': 0.19282185241442235}",20,0,31.27817452565492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
550,False,"{'a': 0.00299815767, 'e': 0.19224460786614914}",20,12,-25.99690664591839,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
551,False,"{'a': 0.00299815767, 'e': 0.19166909139622568}",30,13,34.150430865817256,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.00299815767, 'e': 0.19109529783135962}",30,0,4.853072280104216,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
553,False,"{'a': 0.00299815767, 'e': 0.19052322201374577}",25,8,-23.76912702873747,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
554,False,"{'a': 0.00299815767, 'e': 0.1899528588010197}",25,0,27.14439838731564,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
555,False,"{'a': 0.00299815767, 'e': 0.18938420306621154}",20,11,-25.55960722861305,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
556,False,"{'a': 0.00299815767, 'e': 0.18881724969769975}",30,19,7.057690250471124,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
557,False,"{'a': 0.00299815767, 'e': 0.18825199359916545}",25,0,2.102969631283579,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
558,False,"{'a': 0.00299815767, 'e': 0.1876884296895463}",30,0,-19.693220617256944,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
559,False,"{'a': 0.00299815767, 'e': 0.18712655290299102}",25,4,28.291686466468093,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.00299815767, 'e': 0.18656635818881387}",25,11,-25.78166858186468,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
561,False,"{'a': 0.00299815767, 'e': 0.18600784051144909}",25,9,3.9334319651036327,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
562,False,"{'a': 0.00299815767, 'e': 0.18545099485040575}",20,0,19.490610770659423,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
563,False,"{'a': 0.00299815767, 'e': 0.1848958162002227}",25,17,3.9212738674498864,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
564,False,"{'a': 0.00299815767, 'e': 0.18434229957042333}",20,4,-0.8402624052079997,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
565,False,"{'a': 0.00299815767, 'e': 0.18379043998547095}",20,0,32.179197529429246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
