trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.00299815767, 'e': 0.8843304584079302}",20,0,-57.268000182724016,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
42,False,"{'a': 0.00299815767, 'e': 0.8816830668929334}",30,0,-188.97802101250244,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
43,False,"{'a': 0.00299815767, 'e': 0.879043600788361}",35,0,-85.65293230691864,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.00299815767, 'e': 0.8764120363681678}",20,0,-52.680755743344015,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.00299815767, 'e': 0.8737883499773368}",30,0,-71.88370663599484,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.00299815767, 'e': 0.8711725180316661}",20,0,-59.03313694011505,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.00299815767, 'e': 0.868564517017557}",30,0,-142.8262819439445,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
48,False,"{'a': 0.00299815767, 'e': 0.8659643234918026}",20,0,-154.2109865848609,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.00299815767, 'e': 0.8633719140813776}",30,0,-107.30703809950643,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.00299815767, 'e': 0.8607872654832274}",30,8,-95.8134061347397,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
51,False,"{'a': 0.00299815767, 'e': 0.8582103544640589}",20,0,-5.072107473063863,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.00299815767, 'e': 0.8556411578601323}",25,0,-149.59950932576044,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.00299815767, 'e': 0.8530796525770517}",30,23,3.4692193697613782,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.00299815767, 'e': 0.8505258155895585}",30,0,-178.93327534984522,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
55,False,"{'a': 0.00299815767, 'e': 0.8479796239413241}",20,0,-21.856311819285622,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.00299815767, 'e': 0.8454410547447434}",20,0,-154.62835070680345,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
57,False,"{'a': 0.00299815767, 'e': 0.8429100851807292}",20,0,-54.059423850885786,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.00299815767, 'e': 0.840386692498507}",30,4,-70.16633951225558,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 0}",1
59,False,"{'a': 0.00299815767, 'e': 0.8378708540154107}",20,0,-88.13568311103418,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.00299815767, 'e': 0.8353625471166786}",30,20,-25.479870693803218,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.00299815767, 'e': 0.8328617492552498}",20,3,-7.426607143193282,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.00299815767, 'e': 0.8303684379515621}",25,11,-16.064202310210224,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.00299815767, 'e': 0.8278825907933496}",30,0,-118.22006833269054,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
64,False,"{'a': 0.00299815767, 'e': 0.825404185435441}",20,5,-69.46825797854669,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",1
65,False,"{'a': 0.00299815767, 'e': 0.8229331995995595}",20,0,-125.10139452855528,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
66,False,"{'a': 0.00299815767, 'e': 0.8204696110741214}",35,0,-51.75086295555449,"{0: 25, 1: 5, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.00299815767, 'e': 0.8180133977140379}",25,0,-45.948680667112384,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
